,team_home,FG_home,FGA_home,FG%_home,3P_home,3PA_home,3P%_home,FT_home,FTA_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,TS%_home,eFG%_home,3PAr_home,FTr_home,ORB%_home,DRB%_home,TRB%_home,AST%_home,STL%_home,BLK%_home,TOV%_home,USG%_home,ORtg_home,DRtg_home,team_away,FG_away,FGA_away,FG%_away,3P_away,3PA_away,3P%_away,FT_away,FTA_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,TS%_away,eFG%_away,3PAr_away,FTr_away,ORB%_away,DRB%_away,TRB%_away,AST%_away,STL%_away,BLK%_away,TOV%_away,USG%_away,ORtg_away,DRtg_away,date,season,team_home_game_num,team_away_game_num,fl_playoff,3P%_away_last_5_games,3P%_home_last_5_games,3PA_away_last_5_games,3PA_home_last_5_games,3PAr_away_last_5_games,3PAr_home_last_5_games,3P_away_last_5_games,3P_home_last_5_games,AST%_away_last_5_games,AST%_home_last_5_games,AST_away_last_5_games,AST_home_last_5_games,BLK%_away_last_5_games,BLK%_home_last_5_games,BLK_away_last_5_games,BLK_home_last_5_games,DRB%_away_last_5_games,DRB%_home_last_5_games,DRB_away_last_5_games,DRB_home_last_5_games,DRtg_away_last_5_games,DRtg_home_last_5_games,FG%_away_last_5_games,FG%_home_last_5_games,FGA_away_last_5_games,FGA_home_last_5_games,FG_away_last_5_games,FG_home_last_5_games,FT%_away_last_5_games,FT%_home_last_5_games,FTA_away_last_5_games,FTA_home_last_5_games,FT_away_last_5_games,FT_home_last_5_games,FTr_away_last_5_games,FTr_home_last_5_games,ORB%_away_last_5_games,ORB%_home_last_5_games,ORB_away_last_5_games,ORB_home_last_5_games,ORtg_away_last_5_games,ORtg_home_last_5_games,PF_away_last_5_games,PF_home_last_5_games,PTS_away_last_5_games,PTS_home_last_5_games,STL%_away_last_5_games,STL%_home_last_5_games,STL_away_last_5_games,STL_home_last_5_games,TOV%_away_last_5_games,TOV%_home_last_5_games,TOV_away_last_5_games,TOV_home_last_5_games,TRB%_away_last_5_games,TRB%_home_last_5_games,TRB_away_last_5_games,TRB_home_last_5_games,TS%_away_last_5_games,TS%_home_last_5_games,USG%_away_last_5_games,USG%_home_last_5_games,eFG%_away_last_5_games,eFG%_home_last_5_games,fl_home_win
NOP @ GSW 2015-10-27,GSW,41.0,96.0,0.4270000000000001,9.0,30.0,0.3,20.0,22.0,0.909,21.0,35.0,56.0,29.0,8.0,7.0,20.0,29.0,111.0,0.525,0.474,0.313,0.229,45.7,81.4,62.9,70.7,8.0,10.8,15.9,100.0,110.9,94.9,NOP,35.0,83.0,0.422,6.0,18.0,0.333,19.0,27.0,0.7040000000000001,8.0,25.0,33.0,21.0,9.0,3.0,18.0,26.0,95.0,0.501,0.458,0.217,0.325,18.6,54.3,37.1,60.0,9.0,4.5,15.9,100.0,94.9,110.9,2015-10-27,2016,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CLE @ CHI 2015-10-27,CHI,37.0,87.0,0.425,7.0,19.0,0.368,16.0,23.0,0.696,7.0,40.0,47.0,13.0,6.0,10.0,13.0,22.0,97.0,0.499,0.466,0.218,0.264,15.2,78.4,48.5,35.1,6.0,15.4,11.8,100.0,97.5,95.5,CLE,38.0,94.0,0.404,9.0,29.0,0.31,10.0,17.0,0.588,11.0,39.0,50.0,26.0,5.0,7.0,10.0,21.0,95.0,0.468,0.452,0.309,0.181,21.6,84.8,51.5,68.4,5.0,10.3,9.0,100.0,95.5,97.5,2015-10-27,2016,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
DET @ ATL 2015-10-27,ATL,37.0,82.0,0.451,8.0,27.0,0.29600000000000004,12.0,15.0,0.8,7.0,33.0,40.0,22.0,9.0,4.0,15.0,25.0,94.0,0.53,0.5,0.329,0.183,16.3,58.9,40.4,59.5,9.4,6.0,14.5,100.0,98.6,111.2,DET,37.0,96.0,0.385,12.0,29.0,0.414,20.0,26.0,0.769,23.0,36.0,59.0,23.0,5.0,3.0,15.0,15.0,106.0,0.493,0.448,0.302,0.271,41.1,83.7,59.6,62.2,5.2,5.5,12.3,100.0,111.2,98.6,2015-10-27,2016,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
CLE @ MEM 2015-10-28,MEM,29.0,82.0,0.354,2.0,16.0,0.125,16.0,22.0,0.727,11.0,29.0,40.0,15.0,8.0,3.0,16.0,18.0,76.0,0.414,0.366,0.195,0.268,20.8,70.7,42.6,51.7,8.4,5.5,14.9,100.0,79.4,110.8,CLE,41.0,84.0,0.488,13.0,29.0,0.448,11.0,17.0,0.647,12.0,42.0,54.0,29.0,7.0,2.0,19.0,25.0,106.0,0.579,0.565,0.345,0.202,29.3,79.2,57.4,70.7,7.3,3.0,17.2,100.0,110.8,79.4,2015-10-28,2016,1,2,0,0.062,,5.8,,0.0618,,1.8,,13.680000000000001,,5.2,,2.06,,1.4,,16.96,,7.8,,19.5,,0.08080000000000001,,18.8,,7.6,,0.1176,,3.4,,2.0,,0.036199999999999996,,4.32,,2.2,,19.1,,4.2,,19.0,,1.0,,1.0,,1.8,,2.0,,10.3,,10.0,,0.0936,,20.0,,0.09040000000000001,,0
CHA @ MIA 2015-10-28,MIA,36.0,73.0,0.493,12.0,20.0,0.6,20.0,21.0,0.952,2.0,39.0,41.0,23.0,5.0,7.0,13.0,25.0,104.0,0.632,0.575,0.274,0.28800000000000003,5.9,78.0,48.8,63.9,5.4,11.7,13.6,100.0,113.2,102.4,CHA,33.0,84.0,0.393,6.0,24.0,0.25,22.0,29.0,0.759,11.0,32.0,43.0,16.0,4.0,1.0,8.0,16.0,94.0,0.486,0.429,0.28600000000000003,0.345,22.0,94.1,51.2,48.5,4.4,1.9,7.6,100.0,102.4,113.2,2015-10-28,2016,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NOP @ POR 2015-10-28,POR,44.0,88.0,0.5,12.0,32.0,0.375,12.0,14.0,0.857,6.0,45.0,51.0,22.0,7.0,4.0,12.0,21.0,112.0,0.595,0.568,0.364,0.159,15.0,90.0,56.7,50.0,6.9,6.9,11.3,100.0,111.0,93.1,NOP,36.0,91.0,0.396,11.0,33.0,0.333,11.0,18.0,0.611,5.0,34.0,39.0,19.0,7.0,2.0,11.0,17.0,94.0,0.475,0.456,0.363,0.198,10.0,85.0,43.3,52.8,6.9,3.6,10.0,100.0,93.1,111.0,2015-10-28,2016,1,2,0,0.0666,,3.6,,0.0434,,1.2,,12.0,,4.2,,0.9,,0.6,,10.86,,5.0,,22.18,,0.0844,,16.6,,7.0,,0.1408,,5.4,,3.8,,0.065,,3.72,,1.6,,18.98,,5.2,,19.0,,1.8,,1.8,,3.18,,3.6,,7.42,,6.6,,0.1002,,20.0,,0.0916,,1
DAL @ PHX 2015-10-28,PHX,34.0,87.0,0.391,6.0,24.0,0.25,21.0,33.0,0.636,13.0,40.0,53.0,15.0,3.0,3.0,18.0,30.0,95.0,0.468,0.425,0.276,0.379,23.6,87.0,52.5,44.1,2.9,4.7,15.1,100.0,93.2,108.9,DAL,40.0,85.0,0.471,10.0,21.0,0.476,21.0,31.0,0.677,6.0,42.0,48.0,24.0,7.0,3.0,8.0,25.0,111.0,0.563,0.529,0.247,0.365,13.0,76.4,47.5,60.0,6.9,4.8,7.5,100.0,108.9,93.2,2015-10-28,2016,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
PHI @ BOS 2015-10-28,BOS,39.0,85.0,0.459,8.0,24.0,0.333,26.0,27.0,0.963,10.0,31.0,41.0,31.0,10.0,7.0,17.0,23.0,112.0,0.578,0.506,0.282,0.318,23.8,68.9,47.1,79.5,10.1,11.5,14.9,100.0,112.6,95.5,PHI,34.0,83.0,0.41,7.0,22.0,0.318,20.0,23.0,0.87,14.0,32.0,46.0,12.0,11.0,6.0,22.0,22.0,95.0,0.51,0.452,0.265,0.277,31.1,76.2,52.9,35.3,11.1,9.8,19.1,100.0,95.5,112.6,2015-10-28,2016,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CHI @ BKN 2015-10-28,BKN,39.0,93.0,0.419,0.0,9.0,0.0,22.0,28.0,0.7859999999999999,16.0,29.0,45.0,19.0,11.0,5.0,13.0,18.0,100.0,0.475,0.419,0.097,0.301,32.0,85.3,53.6,48.7,11.1,10.0,11.0,100.0,101.0,116.1,CHI,42.0,78.0,0.5379999999999999,14.0,28.0,0.5,17.0,20.0,0.85,5.0,34.0,39.0,20.0,9.0,3.0,19.0,24.0,115.0,0.662,0.628,0.359,0.256,14.7,68.0,46.4,47.6,9.1,3.6,18.0,100.0,116.1,101.0,2015-10-28,2016,1,1,0,0.0736,,3.8,,0.0436,,1.4,,7.0200000000000005,,2.6,,3.08,,2.0,,15.680000000000001,,8.0,,19.1,,0.08499999999999999,,17.4,,7.4,,0.1392,,4.6,,3.2,,0.0528,,3.04,,1.4,,19.5,,4.4,,19.4,,1.2,,1.2,,2.3600000000000003,,2.6,,9.7,,9.4,,0.0998,,20.0,,0.0932,,0
SAS @ OKC 2015-10-28,OKC,42.0,86.0,0.488,7.0,19.0,0.368,21.0,22.0,0.955,11.0,34.0,45.0,21.0,7.0,4.0,19.0,19.0,112.0,0.585,0.529,0.221,0.256,27.5,82.9,55.6,50.0,6.9,5.1,16.6,100.0,110.2,104.3,SAS,45.0,93.0,0.484,5.0,15.0,0.333,11.0,13.0,0.846,7.0,29.0,36.0,22.0,11.0,9.0,13.0,18.0,106.0,0.537,0.511,0.161,0.14,17.1,72.5,44.4,48.9,10.8,13.4,11.6,100.0,104.3,110.2,2015-10-28,2016,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
