,team_home,PTS_home,team_away,PTS_away,date,season,team_home_game_num,team_away_game_num,fl_playoff,FG_home_last_5_games,FGA_home_last_5_games,FG%_home_last_5_games,3P_home_last_5_games,3PA_home_last_5_games,3P%_home_last_5_games,FT_home_last_5_games,FTA_home_last_5_games,FT%_home_last_5_games,ORB_home_last_5_games,DRB_home_last_5_games,TRB_home_last_5_games,AST_home_last_5_games,STL_home_last_5_games,BLK_home_last_5_games,TOV_home_last_5_games,PF_home_last_5_games,PTS_home_last_5_games,TS%_home_last_5_games,eFG%_home_last_5_games,3PAr_home_last_5_games,FTr_home_last_5_games,ORB%_home_last_5_games,DRB%_home_last_5_games,TRB%_home_last_5_games,AST%_home_last_5_games,STL%_home_last_5_games,BLK%_home_last_5_games,TOV%_home_last_5_games,USG%_home_last_5_games,ORtg_home_last_5_games,DRtg_home_last_5_games,FG_away_last_5_games,FGA_away_last_5_games,FG%_away_last_5_games,3P_away_last_5_games,3PA_away_last_5_games,3P%_away_last_5_games,FT_away_last_5_games,FTA_away_last_5_games,FT%_away_last_5_games,ORB_away_last_5_games,DRB_away_last_5_games,TRB_away_last_5_games,AST_away_last_5_games,STL_away_last_5_games,BLK_away_last_5_games,TOV_away_last_5_games,PF_away_last_5_games,PTS_away_last_5_games,TS%_away_last_5_games,eFG%_away_last_5_games,3PAr_away_last_5_games,FTr_away_last_5_games,ORB%_away_last_5_games,DRB%_away_last_5_games,TRB%_away_last_5_games,AST%_away_last_5_games,STL%_away_last_5_games,BLK%_away_last_5_games,TOV%_away_last_5_games,USG%_away_last_5_games,ORtg_away_last_5_games,DRtg_away_last_5_games,FG_against_home_last_5_games,FGA_against_home_last_5_games,FG%_against_home_last_5_games,3P_against_home_last_5_games,3PA_against_home_last_5_games,3P%_against_home_last_5_games,FT_against_home_last_5_games,FTA_against_home_last_5_games,FT%_against_home_last_5_games,ORB_against_home_last_5_games,DRB_against_home_last_5_games,TRB_against_home_last_5_games,AST_against_home_last_5_games,STL_against_home_last_5_games,BLK_against_home_last_5_games,TOV_against_home_last_5_games,PF_against_home_last_5_games,PTS_against_home_last_5_games,TS%_against_home_last_5_games,eFG%_against_home_last_5_games,3PAr_against_home_last_5_games,FTr_against_home_last_5_games,ORB%_against_home_last_5_games,DRB%_against_home_last_5_games,TRB%_against_home_last_5_games,AST%_against_home_last_5_games,STL%_against_home_last_5_games,BLK%_against_home_last_5_games,TOV%_against_home_last_5_games,USG%_against_home_last_5_games,ORtg_against_home_last_5_games,DRtg_against_home_last_5_games,FG_against_away_last_5_games,FGA_against_away_last_5_games,FG%_against_away_last_5_games,3P_against_away_last_5_games,3PA_against_away_last_5_games,3P%_against_away_last_5_games,FT_against_away_last_5_games,FTA_against_away_last_5_games,FT%_against_away_last_5_games,ORB_against_away_last_5_games,DRB_against_away_last_5_games,TRB_against_away_last_5_games,AST_against_away_last_5_games,STL_against_away_last_5_games,BLK_against_away_last_5_games,TOV_against_away_last_5_games,PF_against_away_last_5_games,PTS_against_away_last_5_games,TS%_against_away_last_5_games,eFG%_against_away_last_5_games,3PAr_against_away_last_5_games,FTr_against_away_last_5_games,ORB%_against_away_last_5_games,DRB%_against_away_last_5_games,TRB%_against_away_last_5_games,AST%_against_away_last_5_games,STL%_against_away_last_5_games,BLK%_against_away_last_5_games,TOV%_against_away_last_5_games,USG%_against_away_last_5_games,ORtg_against_away_last_5_games,DRtg_against_away_last_5_games,fl_home_win
NOP @ GSW 2015-10-27,GSW,111.0,NOP,95.0,2015-10-27,2016,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CLE @ CHI 2015-10-27,CHI,97.0,CLE,95.0,2015-10-27,2016,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
DET @ ATL 2015-10-27,ATL,94.0,DET,106.0,2015-10-27,2016,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CLE @ MEM 2015-10-28,MEM,76.0,CLE,106.0,2015-10-28,2016,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,18.8,0.08080000000000001,1.8,5.8,0.062,2.0,3.4,0.1176,2.2,7.8,10.0,5.2,1.0,1.4,2.0,4.2,19.0,0.0936,0.09040000000000001,0.0618,0.036199999999999996,4.32,16.96,10.3,13.680000000000001,1.0,2.06,1.8,20.0,19.1,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,17.4,0.08499999999999999,1.4,3.8,0.0736,3.2,4.6,0.1392,1.4,8.0,9.4,2.6,1.2,2.0,2.6,4.4,19.4,0.0998,0.0932,0.0436,0.0528,3.04,15.680000000000001,9.7,7.0200000000000005,1.2,3.08,2.3600000000000003,20.0,19.5,19.1,0
CHA @ MIA 2015-10-28,MIA,104.0,CHA,94.0,2015-10-28,2016,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
NOP @ POR 2015-10-28,POR,112.0,NOP,94.0,2015-10-28,2016,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,16.6,0.0844,1.2,3.6,0.0666,3.8,5.4,0.1408,1.6,5.0,6.6,4.2,1.8,0.6,3.6,5.2,19.0,0.1002,0.0916,0.0434,0.065,3.72,10.86,7.42,12.0,1.8,0.9,3.18,20.0,18.98,22.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,19.2,0.08540000000000002,1.8,6.0,0.06,4.0,4.4,0.18180000000000002,4.2,7.0,11.2,5.8,1.6,1.4,4.0,5.8,22.2,0.10500000000000001,0.0948,0.0626,0.0458,9.14,16.28,12.58,14.14,1.6,2.16,3.18,20.0,22.18,18.98,1
DAL @ PHX 2015-10-28,PHX,95.0,DAL,111.0,2015-10-28,2016,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PHI @ BOS 2015-10-28,BOS,112.0,PHI,95.0,2015-10-28,2016,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CHI @ BKN 2015-10-28,BKN,100.0,CHI,115.0,2015-10-28,2016,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,17.4,0.08499999999999999,1.4,3.8,0.0736,3.2,4.6,0.1392,1.4,8.0,9.4,2.6,1.2,2.0,2.6,4.4,19.4,0.0998,0.0932,0.0436,0.0528,3.04,15.680000000000001,9.7,7.0200000000000005,1.2,3.08,2.3600000000000003,20.0,19.5,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,18.8,0.08080000000000001,1.8,5.8,0.062,2.0,3.4,0.1176,2.2,7.8,10.0,5.2,1.0,1.4,2.0,4.2,19.0,0.0936,0.09040000000000001,0.0618,0.036199999999999996,4.32,16.96,10.3,13.680000000000001,1.0,2.06,1.8,20.0,19.1,19.5,0
SAS @ OKC 2015-10-28,OKC,112.0,SAS,106.0,2015-10-28,2016,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
