match,date_ref,game_full_names,result,odds_away,odds_home,B's,fl_playoff,fl_pre_season,date,team_home,team_away,PTS_home,PTS_away,fl_home_win
CLE @ GSW 2018-06-09,09 Jun 2018 - Play Offs,Cleveland Cavaliers - Golden State Warriors,85:108,2.43,1.6,13.0,1,0,2018-06-09,GSW,CLE,85,108,0
CLE @ GSW 2018-06-07,07 Jun 2018 - Play Offs,Cleveland Cavaliers - Golden State Warriors,102:110,2.28,1.67,13.0,1,0,2018-06-07,GSW,CLE,102,110,0
GSW @ CLE 2018-06-04,04 Jun 2018 - Play Offs,Golden State Warriors - Cleveland Cavaliers,122:103,1.18,5.27,13.0,1,0,2018-06-04,CLE,GSW,122,103,1
GSW @ CLE 2018-06-01,01 Jun 2018 - Play Offs,Golden State Warriors - Cleveland Cavaliers,124:114 OT,1.11,7.18,13.0,1,0,2018-06-01,CLE,GSW,124,114,1
HOU @ GSW 2018-05-29,29 May 2018 - Play Offs,Houston Rockets - Golden State Warriors,92:101,3.30,1.36,13.0,1,0,2018-05-29,GSW,HOU,92,101,0
BOS @ CLE 2018-05-28,28 May 2018 - Play Offs,Boston Celtics - Cleveland Cavaliers,79:87,1.69,2.24,13.0,1,0,2018-05-28,CLE,BOS,79,87,0
GSW @ HOU 2018-05-27,27 May 2018 - Play Offs,Golden State Warriors - Houston Rockets,115:86,1.10,7.82,13.0,1,0,2018-05-27,HOU,GSW,115,86,1
CLE @ BOS 2018-05-26,26 May 2018 - Play Offs,Cleveland Cavaliers - Boston Celtics,109:99,1.30,3.7,13.0,1,0,2018-05-26,BOS,CLE,109,99,1
HOU @ GSW 2018-05-25,25 May 2018 - Play Offs,Houston Rockets - Golden State Warriors,98:94,1.96,1.9,13.0,1,0,2018-05-25,GSW,HOU,98,94,1
BOS @ CLE 2018-05-24,24 May 2018 - Play Offs,Boston Celtics - Cleveland Cavaliers,96:83,1.84,2.03,13.0,1,0,2018-05-24,CLE,BOS,96,83,1
GSW @ HOU 2018-05-23,23 May 2018 - Play Offs,Golden State Warriors - Houston Rockets,92:95,1.25,4.28,13.0,1,0,2018-05-23,HOU,GSW,92,95,0
CLE @ BOS 2018-05-22,22 May 2018 - Play Offs,Cleveland Cavaliers - Boston Celtics,111:102,1.31,3.64,13.0,1,0,2018-05-22,BOS,CLE,111,102,1
GSW @ HOU 2018-05-21,21 May 2018 - Play Offs,Golden State Warriors - Houston Rockets,126:85,1.28,3.89,13.0,1,0,2018-05-21,HOU,GSW,126,85,1
CLE @ BOS 2018-05-20,20 May 2018 - Play Offs,Cleveland Cavaliers - Boston Celtics,116:86,1.34,3.42,13.0,1,0,2018-05-20,BOS,CLE,116,86,1
HOU @ GSW 2018-05-17,17 May 2018 - Play Offs,Houston Rockets - Golden State Warriors,127:105,1.80,2.07,13.0,1,0,2018-05-17,GSW,HOU,127,105,1
BOS @ CLE 2018-05-16,16 May 2018 - Play Offs,Boston Celtics - Cleveland Cavaliers,107:94,1.92,1.93,13.0,1,0,2018-05-16,CLE,BOS,107,94,1
HOU @ GSW 2018-05-15,15 May 2018 - Play Offs,Houston Rockets - Golden State Warriors,106:119,1.77,2.11,13.0,1,0,2018-05-15,GSW,HOU,106,119,0
BOS @ CLE 2018-05-13,13 May 2018 - Play Offs,Boston Celtics - Cleveland Cavaliers,108:83,1.98,1.88,13.0,1,0,2018-05-13,CLE,BOS,108,83,1
BOS @ PHI 2018-05-10,10 May 2018 - Play Offs,Boston Celtics - Philadelphia 76ers,114:112,1.82,2.04,13.0,1,0,2018-05-10,PHI,BOS,114,112,1
