;D1_FG_PCT_L5;fl_home_win
PHI @ BOS 2018-10-16;0,0;1
OKC @ GSW 2018-10-16;0,0;1
MIL @ CHA 2018-10-17;0,0;0
BKN @ DET 2018-10-17;0,0;1
MEM @ IND 2018-10-17;0,0;1
MIA @ ORL 2018-10-17;0,0;1
ATL @ NYK 2018-10-17;0,0;1
CLE @ TOR 2018-10-17;0,0;1
NOP @ HOU 2018-10-17;0,0;0
MIN @ SAS 2018-10-17;0,0;1
UTA @ SAC 2018-10-17;0,0;0
DEN @ LAC 2018-10-17;0,0;0
DAL @ PHX 2018-10-17;0,0;1
LAL @ POR 2018-10-18;0,0;1
MIA @ WAS 2018-10-18;-0,0784;0
CHI @ PHI 2018-10-18;0,0782;1
CHA @ ORL 2018-10-19;-0,006200000000000011;0
NYK @ BKN 2018-10-19;0,006599999999999995;1
BOS @ TOR 2018-10-19;0,011200000000000002;1
ATL @ MEM 2018-10-19;-0,0316;1
CLE @ MIN 2018-10-19;0,0058;1
SAC @ NOP 2018-10-19;0,0030000000000000027;1
IND @ MIL 2018-10-19;-0,01440000000000001;1
GSW @ UTA 2018-10-19;0,015399999999999997;0
OKC @ LAC 2018-10-19;0,006999999999999992;1
SAS @ POR 2018-10-20;0,0020000000000000018;1
PHX @ DEN 2018-10-20;-0,03279999999999998;1
MIN @ DAL 2018-10-20;-0,10059999999999998;1
DET @ CHI 2018-10-20;0,0023999999999999994;0
HOU @ LAL 2018-10-20;0,011999999999999997;0
ORL @ PHI 2018-10-20;0,013200000000000017;1
BKN @ IND 2018-10-20;0,004400000000000043;1
CHA @ MIA 2018-10-20;-0,025800000000000017;0
BOS @ NYK 2018-10-20;0,0040000000000000036;0
TOR @ WAS 2018-10-20;-0,09739999999999999;0
ATL @ CLE 2018-10-21;-0,01319999999999999;0
SAC @ OKC 2018-10-21;-0,06319999999999998;0
GSW @ DEN 2018-10-21;-0,023999999999999994;1
HOU @ LAC 2018-10-21;-0,010399999999999965;1
SAS @ LAL 2018-10-22;0,022800000000000015;0
CHA @ TOR 2018-10-22;0,008999999999999952;1
NYK @ MIL 2018-10-22;-0,06079999999999999;1
IND @ MIN 2018-10-22;-0,019600000000000006;1
CHI @ DAL 2018-10-22;-0,0019999999999999463;1
MEM @ UTA 2018-10-22;0,025400000000000006;0
WAS @ POR 2018-10-22;0,018199999999999994;0
PHX @ GSW 2018-10-22;0,10819999999999996;1
ORL @ BOS 2018-10-22;-0,0030000000000000027;0
SAC @ DEN 2018-10-23;-0,05879999999999996;1
LAC @ NOP 2018-10-23;-0,03639999999999999;1
PHI @ DET 2018-10-23;-0,1026;1
LAL @ PHX 2018-10-24;-0,02100000000000002;0
DAL @ ATL 2018-10-24;0,015599999999999947;1
BKN @ CLE 2018-10-24;-0,02180000000000004;0
NYK @ MIA 2018-10-24;-0,09619999999999998;1
MIN @ TOR 2018-10-24;0,01819999999999994;1
CHA @ CHI 2018-10-24;-0,06459999999999999;1
UTA @ HOU 2018-10-24;0,008599999999999997;0
IND @ SAS 2018-10-24;-0,11660000000000004;0
PHI @ MIL 2018-10-24;-0,08139999999999997;1
MEM @ SAC 2018-10-24;0,17980000000000002;1
WAS @ GSW 2018-10-24;0,13379999999999997;1
CLE @ DET 2018-10-25;-0,08579999999999993;1
POR @ ORL 2018-10-25;0,05779999999999996;0
BOS @ OKC 2018-10-25;-0,09660000000000005;0
DEN @ LAL 2018-10-25;0,03820000000000001;1
BKN @ NOP 2018-10-26;-0,06900000000000006;1
WAS @ SAC 2018-10-26;0,1552;1
MIL @ MIN 2018-10-26;0,09079999999999999;0
LAC @ HOU 2018-10-26;-0,0012000000000000344;0
DAL @ TOR 2018-10-26;0,14220000000000005;1
GSW @ NYK 2018-10-26;-0,09180000000000005;0
CHI @ CHA 2018-10-26;0,055400000000000005;1
LAL @ SAS 2018-10-27;-0,1462;1
ORL @ MIL 2018-10-27;0,04319999999999985;1
POR @ MIA 2018-10-27;-0,04099999999999998;1
CHA @ PHI 2018-10-27;-0,015999999999999903;1
PHX @ MEM 2018-10-27;-0,060799999999999965;1
