,MIA,ORL,SAS,HOU,NOP,DAL,PHX,ATL,LAC,LAL,MEM,CHA,OKC,GSW,SAC,WAS,DEN,IND,PHI,BKN,NYK,UTA,CLE,CHI,BOS,DET,MIL,TOR,MIN,POR
MIA,0.0,327.7529563944501,1844.1780406920357,1557.6876462819496,1077.7461542073677,1789.325717066258,3188.85901468425,973.0134571031259,3766.5619198860727,3766.5619198860727,1403.0649862427533,1048.7503723894547,1973.0881193191387,4156.273259158011,4108.83163053896,1484.511547517175,2778.9525988013456,1647.3369780477535,1634.047112224672,1749.974051937881,1756.4291146398996,3362.8258382801855,1748.5864077985616,1913.5032656875658,2020.3335574677044,1897.092637328892,2040.2052672597365,1982.9299859167004,2432.242231998637,4357.062812603155
ORL,327.7529563944505,0.0,1663.414809988457,1365.9190870135026,859.6670646400005,1549.9709344010853,2969.8915210313144,645.8361205746404,3544.968795311225,3544.968795311225,1098.4242470731942,743.0727424410984,1703.6642430073534,3909.8685983117684,3856.472632936387,1217.6214793956647,2497.1701510893986,1320.0254636222114,1383.275433278458,1507.3566811616859,1513.1798623919035,3087.6001623738034,1437.8039739457174,1585.930871479851,1794.4105505534005,1579.7651672097902,1712.8782203423434,1685.5399365403784,2105.707273152213,4069.325464218942
SAS,1844.1780406920357,1663.414809988457,0.0,300.08574586351403,810.5687573638538,403.91503399477796,1369.2260245868767,1414.993240601918,1944.0026733640668,1944.0026733640668,1011.8683135195241,1774.0053744037627,674.9927381630484,2382.7763805763857,2355.0576464881656,2228.86869794223,1293.035810443278,1604.5075290402883,2417.9523896980495,2544.536464269985,2545.846095221731,1753.752585479836,2019.3228881259295,1687.8568216939454,2839.347510854157,2003.9543149993885,1779.2105684902479,2313.5005536980957,1784.844575053173,2770.92305321027
HOU,1557.6876462819496,1365.9190870135021,300.08574586351403,0.0,510.6398599754792,364.1247832093579,1635.7101196466908,1129.1258553481453,2213.3673774745102,2213.3673774745102,778.432582431554,1491.7172450044459,664.894158293265,2629.2616678967474,2593.3763432796663,1963.804066369517,1415.9055965140924,1392.669120479333,2155.4664823772246,2284.5690320402873,2286.3598907102487,1932.9865514314101,1793.5266394546782,1513.0316668303421,2584.0312238557503,1798.797332632933,1617.5463952252062,2094.127692308338,1700.0741375105833,2954.819688845646
NOP,1077.7461542073681,859.6670646400007,810.5687573638542,510.6398599754792,0.0,713.1924958872534,2116.1472060861515,683.8221814738844,2693.0231468584434,2693.0231468584434,575.4949412861982,1045.6557931478274,926.6260227610609,3079.0092360909944,3033.1259886659814,1554.9799459841515,1740.878534867503,1146.1988426317137,1749.3349463427571,1882.336427180181,1885.2601065854747,2308.246700500614,1487.6691735302697,1341.4844878300667,2188.2262010399622,1540.6832494102348,1465.8601223039202,1791.4939242325154,1691.5884814221117,3318.4692413136936
DAL,1789.325717066258,1549.9709344010853,403.9150339947778,364.1247832093578,713.1924958872535,0.0,1424.8335272040922,1160.7802911452363,1996.895196146524,1996.895196146524,676.6629873571367,1497.9605114474998,303.5305637061475,2367.0558509606017,2320.0472857724635,1907.000142951167,1066.153432431295,1229.3512935241868,2089.7698513504038,2211.2582713731504,2211.817701915377,1608.3890351103632,1650.8581626954785,1291.9152055810869,2497.2379954181015,1620.4481328041743,1379.0038556339473,1937.6734167558343,1387.0806656383018,2626.62058855292
PHX,3188.85901468425,2969.8915210313144,1369.2260245868767,1635.7101196466908,2116.1472060861515,1424.8335272040922,0.0,2561.059171743667,577.8432518875507,577.8432518875507,2031.8798383366143,2868.77517197973,1354.8398345912399,1034.0961197451825,1027.691279664377,3190.594465110708,942.0038009784354,2412.529582452353,3350.391903495873,3453.391743375219,3451.9437807831687,812.8026414094203,2815.2089253006557,2336.7453236148194,3701.0374715056264,2713.0210947508526,2355.910892032213,3042.161955416477,2058.711634586573,1618.9665070866572
ATL,973.0134571031256,645.8361205746406,1414.9932406019177,1129.1258553481453,683.8221814738841,1160.7802911452363,2561.059171743667,0.0,3118.428662827922,3118.428662827922,541.6361522273776,364.83776043011426,1217.079759350257,3424.5878139209,3358.9975579926304,873.4802639159285,1951.5230234998005,684.7992163025456,1067.6233918185612,1201.083519107563,1204.2951483525671,2548.5741134378245,891.5147804571392,946.4958441207336,1507.5740974482496,997.3909677971533,1075.4437406788186,1180.454178449521,1460.050354332316,3495.2259363210073
LAC,3766.5619198860727,3544.9687953112257,1944.0026733640668,2213.3673774745102,2693.023146858444,1996.895196146524,577.8432518875508,3118.428662827922,0.0,0.0,2582.7855211676347,3413.8161949052846,1903.094797808563,543.4620437599048,588.4574116275709,3703.9990439054677,1338.7466857927416,2914.88885478019,3854.184143905866,3949.66174145128,3947.577203966598,934.705675009872,3300.7220816184167,2808.317587506,4180.82550591535,3181.743488551951,2809.4293824541937,3504.188620579848,2453.715630726685,1329.5236874263644
LAL,3766.5619198860727,3544.9687953112257,1944.0026733640668,2213.3673774745102,2693.023146858444,1996.895196146524,577.8432518875508,3118.428662827922,0.0,0.0,2582.7855211676347,3413.8161949052846,1903.094797808563,543.4620437599048,588.4574116275709,3703.9990439054677,1338.7466857927416,2914.88885478019,3854.184143905866,3949.66174145128,3947.577203966598,934.705675009872,3300.7220816184167,2808.317587506,4180.82550591535,3181.743488551951,2809.4293824541937,3504.188620579848,2453.715630726685,1329.5236874263644
