,game,team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,year_month
0,ATL @ BKN 2015-11-17,ATL,240.0,33.0,76.0,0.434,12.0,29.0,0.414,10.0,14.0,0.7140000000000001,8.0,36.0,44.0,22.0,7.0,7.0,20.0,17.0,88.0,,0.536,0.513,0.382,0.184,18.6,80.0,50.0,66.7,7.6,10.9,19.6,100.0,96.1,98.3,201511
1,ATL @ BKN 2015-11-17,BKN,240.0,37.0,84.0,0.44,9.0,20.0,0.45,7.0,13.0,0.5379999999999999,9.0,35.0,44.0,22.0,14.0,3.0,11.0,14.0,90.0,,0.502,0.494,0.23800000000000002,0.155,20.0,81.4,50.0,59.5,15.3,6.4,10.9,100.0,98.3,96.1,201511
2,ATL @ BKN 2017-01-10,ATL,240.0,44.0,92.0,0.478,7.0,23.0,0.304,22.0,38.0,0.579,15.0,38.0,53.0,25.0,11.0,12.0,12.0,17.0,117.0,,0.5379999999999999,0.516,0.25,0.413,30.6,73.1,52.5,56.8,10.9,20.7,9.9,100.0,116.0,96.2,201701
3,ATL @ BKN 2017-01-10,BKN,240.0,35.0,87.0,0.402,10.0,29.0,0.345,17.0,23.0,0.7390000000000001,14.0,34.0,48.0,22.0,5.0,4.0,17.0,24.0,97.0,,0.499,0.46,0.33299999999999996,0.264,26.9,69.4,47.5,62.9,5.0,5.8,14.9,100.0,96.2,116.0,201701
4,ATL @ BKN 2017-04-02,ATL,240.0,30.0,80.0,0.375,7.0,24.0,0.292,15.0,23.0,0.652,8.0,36.0,44.0,19.0,9.0,4.0,19.0,19.0,82.0,,0.455,0.419,0.3,0.28800000000000003,15.7,81.8,46.3,63.3,9.0,8.2,17.4,100.0,82.4,91.4,201704
5,ATL @ BKN 2017-04-02,BKN,240.0,32.0,82.0,0.39,10.0,33.0,0.303,17.0,20.0,0.85,8.0,43.0,51.0,21.0,11.0,6.0,19.0,22.0,91.0,,0.501,0.451,0.402,0.244,18.2,84.3,53.7,65.6,11.1,10.7,17.3,100.0,91.4,82.4,201704
6,ATL @ BKN 2017-10-22,ATL,240.0,32.0,94.0,0.34,7.0,27.0,0.259,33.0,36.0,0.917,16.0,32.0,48.0,21.0,6.0,2.0,16.0,25.0,104.0,,0.473,0.37799999999999995,0.287,0.38299999999999995,29.6,71.1,48.5,65.6,5.7,3.3,12.7,100.0,99.5,110.9,201710
7,ATL @ BKN 2017-10-22,BKN,240.0,41.0,87.0,0.47100000000000003,11.0,27.0,0.40700000000000003,23.0,34.0,0.6759999999999999,13.0,38.0,51.0,27.0,12.0,8.0,18.0,27.0,116.0,,0.569,0.534,0.31,0.391,28.9,70.4,51.5,65.9,11.5,11.9,15.0,100.0,110.9,99.5,201710
8,ATL @ BKN 2017-12-02,ATL,240.0,47.0,99.0,0.475,10.0,27.0,0.37,10.0,14.0,0.7140000000000001,13.0,34.0,47.0,18.0,12.0,5.0,8.0,19.0,114.0,,0.542,0.525,0.273,0.141,27.7,73.9,50.5,38.3,12.4,12.5,7.1,100.0,118.0,105.6,201712
9,ATL @ BKN 2017-12-02,BKN,240.0,34.0,82.0,0.415,17.0,42.0,0.405,17.0,21.0,0.81,12.0,34.0,46.0,26.0,1.0,8.0,19.0,18.0,102.0,,0.5589999999999999,0.518,0.512,0.256,26.1,72.3,49.5,76.5,1.0,11.1,17.2,100.0,105.6,118.0,201712
