,Unnamed: 0,team_home,PTS_home,team_away,PTS_away,date,season,team_home_game_num,team_away_game_num,fl_playoff,FG_home_last_5_games,FGA_home_last_5_games,FG%_home_last_5_games,3P_home_last_5_games,3PA_home_last_5_games,3P%_home_last_5_games,FT_home_last_5_games,FTA_home_last_5_games,FT%_home_last_5_games,ORB_home_last_5_games,DRB_home_last_5_games,TRB_home_last_5_games,AST_home_last_5_games,STL_home_last_5_games,BLK_home_last_5_games,TOV_home_last_5_games,PF_home_last_5_games,PTS_home_last_5_games,TS%_home_last_5_games,eFG%_home_last_5_games,3PAr_home_last_5_games,FTr_home_last_5_games,ORB%_home_last_5_games,DRB%_home_last_5_games,TRB%_home_last_5_games,AST%_home_last_5_games,STL%_home_last_5_games,BLK%_home_last_5_games,TOV%_home_last_5_games,USG%_home_last_5_games,ORtg_home_last_5_games,DRtg_home_last_5_games,FG_away_last_5_games,FGA_away_last_5_games,FG%_away_last_5_games,3P_away_last_5_games,3PA_away_last_5_games,3P%_away_last_5_games,FT_away_last_5_games,FTA_away_last_5_games,FT%_away_last_5_games,ORB_away_last_5_games,DRB_away_last_5_games,TRB_away_last_5_games,AST_away_last_5_games,STL_away_last_5_games,BLK_away_last_5_games,TOV_away_last_5_games,PF_away_last_5_games,PTS_away_last_5_games,TS%_away_last_5_games,eFG%_away_last_5_games,3PAr_away_last_5_games,FTr_away_last_5_games,ORB%_away_last_5_games,DRB%_away_last_5_games,TRB%_away_last_5_games,AST%_away_last_5_games,STL%_away_last_5_games,BLK%_away_last_5_games,TOV%_away_last_5_games,USG%_away_last_5_games,ORtg_away_last_5_games,DRtg_away_last_5_games,FG_against_home_last_5_games,FGA_against_home_last_5_games,FG%_against_home_last_5_games,3P_against_home_last_5_games,3PA_against_home_last_5_games,3P%_against_home_last_5_games,FT_against_home_last_5_games,FTA_against_home_last_5_games,FT%_against_home_last_5_games,ORB_against_home_last_5_games,DRB_against_home_last_5_games,TRB_against_home_last_5_games,AST_against_home_last_5_games,STL_against_home_last_5_games,BLK_against_home_last_5_games,TOV_against_home_last_5_games,PF_against_home_last_5_games,PTS_against_home_last_5_games,TS%_against_home_last_5_games,eFG%_against_home_last_5_games,3PAr_against_home_last_5_games,FTr_against_home_last_5_games,ORB%_against_home_last_5_games,DRB%_against_home_last_5_games,TRB%_against_home_last_5_games,AST%_against_home_last_5_games,STL%_against_home_last_5_games,BLK%_against_home_last_5_games,TOV%_against_home_last_5_games,USG%_against_home_last_5_games,ORtg_against_home_last_5_games,DRtg_against_home_last_5_games,FG_against_away_last_5_games,FGA_against_away_last_5_games,FG%_against_away_last_5_games,3P_against_away_last_5_games,3PA_against_away_last_5_games,3P%_against_away_last_5_games,FT_against_away_last_5_games,FTA_against_away_last_5_games,FT%_against_away_last_5_games,ORB_against_away_last_5_games,DRB_against_away_last_5_games,TRB_against_away_last_5_games,AST_against_away_last_5_games,STL_against_away_last_5_games,BLK_against_away_last_5_games,TOV_against_away_last_5_games,PF_against_away_last_5_games,PTS_against_away_last_5_games,TS%_against_away_last_5_games,eFG%_against_away_last_5_games,3PAr_against_away_last_5_games,FTr_against_away_last_5_games,ORB%_against_away_last_5_games,DRB%_against_away_last_5_games,TRB%_against_away_last_5_games,AST%_against_away_last_5_games,STL%_against_away_last_5_games,BLK%_against_away_last_5_games,TOV%_against_away_last_5_games,USG%_against_away_last_5_games,ORtg_against_away_last_5_games,DRtg_against_away_last_5_games,fl_home_win
0,NOP @ GSW 2015-10-27,GSW,111.0000,NOP,95.0000,2015-10-27,2016,1,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
1,CLE @ CHI 2015-10-27,CHI,97.0000,CLE,95.0000,2015-10-27,2016,1,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
2,DET @ ATL 2015-10-27,ATL,94.0000,DET,106.0000,2015-10-27,2016,1,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3,CLE @ MEM 2015-10-28,MEM,76.0000,CLE,106.0000,2015-10-28,2016,1,2,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.6000,18.8000,0.0808,1.8000,5.8000,0.0620,2.0000,3.4000,0.1176,2.2000,7.8000,10.0000,5.2000,1.0000,1.4000,2.0000,4.2000,19.0000,0.0936,0.0904,0.0618,0.0362,4.3200,16.9600,10.3000,13.6800,1.0000,2.0600,1.8000,20.0000,19.1000,19.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4000,17.4000,0.0850,1.4000,3.8000,0.0736,3.2000,4.6000,0.1392,1.4000,8.0000,9.4000,2.6000,1.2000,2.0000,2.6000,4.4000,19.4000,0.0998,0.0932,0.0436,0.0528,3.0400,15.6800,9.7000,7.0200,1.2000,3.0800,2.3600,20.0000,19.5000,19.1000,0
4,CHA @ MIA 2015-10-28,MIA,104.0000,CHA,94.0000,2015-10-28,2016,1,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
5,NOP @ POR 2015-10-28,POR,112.0000,NOP,94.0000,2015-10-28,2016,1,2,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.0000,16.6000,0.0844,1.2000,3.6000,0.0666,3.8000,5.4000,0.1408,1.6000,5.0000,6.6000,4.2000,1.8000,0.6000,3.6000,5.2000,19.0000,0.1002,0.0916,0.0434,0.0650,3.7200,10.8600,7.4200,12.0000,1.8000,0.9000,3.1800,20.0000,18.9800,22.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2000,19.2000,0.0854,1.8000,6.0000,0.0600,4.0000,4.4000,0.1818,4.2000,7.0000,11.2000,5.8000,1.6000,1.4000,4.0000,5.8000,22.2000,0.1050,0.0948,0.0626,0.0458,9.1400,16.2800,12.5800,14.1400,1.6000,2.1600,3.1800,20.0000,22.1800,18.9800,1
6,DAL @ PHX 2015-10-28,PHX,95.0000,DAL,111.0000,2015-10-28,2016,1,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7,PHI @ BOS 2015-10-28,BOS,112.0000,PHI,95.0000,2015-10-28,2016,1,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
8,CHI @ BKN 2015-10-28,BKN,100.0000,CHI,115.0000,2015-10-28,2016,1,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.4000,17.4000,0.0850,1.4000,3.8000,0.0736,3.2000,4.6000,0.1392,1.4000,8.0000,9.4000,2.6000,1.2000,2.0000,2.6000,4.4000,19.4000,0.0998,0.0932,0.0436,0.0528,3.0400,15.6800,9.7000,7.0200,1.2000,3.0800,2.3600,20.0000,19.5000,19.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6000,18.8000,0.0808,1.8000,5.8000,0.0620,2.0000,3.4000,0.1176,2.2000,7.8000,10.0000,5.2000,1.0000,1.4000,2.0000,4.2000,19.0000,0.0936,0.0904,0.0618,0.0362,4.3200,16.9600,10.3000,13.6800,1.0000,2.0600,1.8000,20.0000,19.1000,19.5000,0
9,SAS @ OKC 2015-10-28,OKC,112.0000,SAS,106.0000,2015-10-28,2016,1,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
